filename,xmin,ymin,xmax,ymax
06845.jpg,86.3355484008789,37.49216842651367,629.796142578125,364.184326171875
06139.jpg,151.99923706054688,260.18023681640625,1254.6976318359375,1028.861083984375
03825.jpg,159.57809448242188,2.8469488620758057,551.079345703125,252.98008728027344
07679.jpg,97.0682144165039,152.8754425048828,489.8929748535156,303.2360534667969
00996.jpg,1.0952754020690918,69.56896209716797,333.6597595214844,206.55653381347656
01939.jpg,33.438026428222656,85.90142822265625,463.8111877441406,297.3357849121094
05979.jpg,71.54618072509766,87.61541748046875,437.6490173339844,308.3697204589844
05706.jpg,50.28343200683594,101.21763610839844,448.1748962402344,290.76470947265625
02608.jpg,17.758392333984375,23.81585121154785,690.9649658203125,380.3185119628906
07125.jpg,90.16471099853516,201.36257934570312,1493.970703125,1072.8602294921875
00637.jpg,68.28064727783203,45.866851806640625,865.351318359375,458.6152038574219
05672.jpg,42.87717819213867,43.47150802612305,583.5076293945312,371.97406005859375
04642.jpg,40.309791564941406,37.99394989013672,603.5958251953125,267.56610107421875
08143.jpg,77.16426849365234,525.257080078125,1506.8756103515625,909.4478149414062
05677.jpg,55.26651382446289,36.32258605957031,680.8545532226562,419.9515075683594
04052.jpg,3.4132139682769775,21.41468620300293,402.3454284667969,251.87948608398438
03886.jpg,47.026363372802734,117.29318237304688,404.78753662109375,282.506591796875
00025.jpg,32.54633331298828,84.48103332519531,545.7950439453125,338.5649719238281
04880.jpg,59.675662994384766,119.27928924560547,843.3120727539062,408.8917541503906
01775.jpg,14.57000732421875,35.26618957519531,624.6152954101562,294.5373229980469
03922.jpg,21.794307708740234,40.58104705810547,293.7020568847656,182.41612243652344
00977.jpg,127.66261291503906,60.21157455444336,599.9542236328125,342.4064636230469
01201.jpg,18.585643768310547,53.575687408447266,633.6202392578125,469.1700439453125
03676.jpg,49.177101135253906,56.13798904418945,391.5515441894531,248.1249542236328
02859.jpg,-0.1806393265724182,48.98072814941406,624.7371215820312,387.27716064453125
01352.jpg,-0.37467777729034424,56.22346878051758,299.61895751953125,219.54258728027344
00267.jpg,20.94982147216797,131.96592712402344,616.8421020507812,372.9731750488281
01747.jpg,89.95703125,82.72904968261719,578.8522338867188,400.68695068359375
04977.jpg,19.783878326416016,78.19002532958984,599.1513671875,428.91552734375
03775.jpg,33.48222732543945,188.07315063476562,670.1362915039062,427.31402587890625
